"City:    ","SIOUX FALLS           "
"State:   ","SD"
"WBAN No: ", 14944
"Lat(N):  ", 43.57
"Long(W): ", 96.73
"Elev(m): ",   435
"Pres(mb):",   964
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
71, 9, 4.4, 5.3, 5.3, 5.1, 3.7, 6.3, 6.9, 7.0, 6.8, 7.0, 3.5, 4.3, 4.9, 4.9
71,10, 2.9, 3.9, 4.1, 4.1, 3.4, 4.1, 4.8, 5.0, 5.0, 5.0, 2.7, 2.6, 3.4, 3.4
71,11, 1.9, 2.8, 3.1, 3.2, 2.9, 2.7, 3.4, 3.6, 3.7, 3.7, 2.0, 1.6, 2.3, 2.4
71,12, 1.5, 2.5, 2.8, 3.1, 3.0, 2.3, 3.0, 3.3, 3.4, 3.5, 1.8, 1.1, 1.9, 2.0
72, 1, 1.9, 3.2, 3.6, 3.9, 3.8, 2.9, 3.8, 4.2, 4.4, 4.4, 2.4, 1.6, 2.6, 2.8
72, 2, 3.0, 4.3, 4.8, 5.0, 4.7, 4.4, 5.4, 5.8, 5.9, 5.9, 3.0, 2.5, 3.6, 3.7
72, 3, 3.7, 4.7, 4.9, 4.8, 4.0, 5.2, 5.9, 6.1, 6.0, 6.1, 2.9, 3.1, 3.8, 3.8
72, 4, 4.6, 5.0, 4.9, 4.6, 3.2, 5.9, 6.3, 6.2, 6.0, 6.3, 2.7, 3.3, 3.7, 3.7
72, 5, 5.3, 5.3, 5.0, 4.4, 2.6, 6.8, 6.9, 6.7, 6.3, 7.1, 2.9, 4.0, 3.9, 4.1
72, 6, 6.5, 6.3, 5.8, 5.0, 2.8, 8.6, 8.7, 8.3, 7.8, 8.9, 4.3, 5.7, 5.4, 5.9
72, 7, 6.3, 6.3, 5.8, 5.0, 2.8, 8.4, 8.5, 8.2, 7.7, 8.7, 4.2, 5.7, 5.4, 5.9
72, 8, 5.4, 5.8, 5.6, 5.1, 3.3, 7.2, 7.6, 7.5, 7.1, 7.7, 3.6, 4.6, 4.8, 4.9
72, 9, 4.2, 5.0, 5.1, 4.8, 3.6, 5.9, 6.6, 6.6, 6.4, 6.6, 3.2, 3.9, 4.5, 4.5
72,10, 3.0, 4.0, 4.3, 4.3, 3.6, 4.3, 5.1, 5.3, 5.3, 5.3, 2.8, 2.8, 3.6, 3.6
72,11, 1.6, 2.1, 2.2, 2.2, 2.0, 1.9, 2.3, 2.4, 2.4, 2.5, 1.0, 0.8, 1.2, 1.2
72,12, 1.4, 2.2, 2.5, 2.6, 2.5, 1.9, 2.5, 2.8, 2.9, 2.9, 1.5, 0.9, 1.6, 1.8
73, 1, 1.9, 3.3, 3.8, 4.1, 4.1, 3.0, 4.1, 4.5, 4.7, 4.8, 2.9, 2.0, 3.1, 3.4
73, 2, 2.6, 3.6, 4.0, 4.1, 3.8, 3.7, 4.5, 4.7, 4.9, 4.9, 2.4, 2.1, 2.9, 3.0
73, 3, 3.3, 3.9, 3.9, 3.8, 2.9, 4.3, 4.7, 4.8, 4.7, 4.8, 2.1, 2.3, 2.8, 2.8
73, 4, 4.9, 5.4, 5.3, 4.9, 3.3, 6.8, 7.2, 7.1, 6.8, 7.2, 3.2, 4.2, 4.5, 4.6
73, 5, 6.4, 6.6, 6.1, 5.4, 3.2, 8.7, 8.9, 8.6, 8.1, 9.0, 4.5, 5.9, 5.8, 6.2
73, 6, 6.8, 6.7, 6.2, 5.3, 2.9, 9.3, 9.4, 9.0, 8.4, 9.6, 4.8, 6.4, 6.1, 6.6
73, 7, 6.4, 6.4, 5.9, 5.2, 2.9, 8.6, 8.7, 8.4, 7.9, 8.9, 4.3, 5.7, 5.5, 5.9
73, 8, 5.9, 6.3, 6.1, 5.5, 3.4, 8.2, 8.6, 8.5, 8.1, 8.7, 4.3, 5.8, 5.9, 6.1
73, 9, 3.8, 4.3, 4.3, 4.0, 2.9, 4.9, 5.3, 5.3, 5.2, 5.4, 2.2, 2.7, 3.1, 3.1
73,10, 3.0, 4.1, 4.4, 4.4, 3.7, 4.3, 5.1, 5.3, 5.4, 5.4, 2.9, 2.8, 3.7, 3.7
73,11, 1.8, 2.7, 3.0, 3.1, 2.8, 2.4, 3.1, 3.3, 3.5, 3.5, 1.9, 1.4, 2.1, 2.2
73,12, 1.5, 2.5, 2.8, 3.0, 2.9, 2.2, 2.9, 3.2, 3.3, 3.4, 1.8, 1.1, 1.9, 2.0
74, 1, 2.0, 3.5, 4.1, 4.4, 4.3, 3.2, 4.3, 4.8, 5.0, 5.1, 3.0, 2.0, 3.2, 3.4
74, 2, 2.7, 3.9, 4.3, 4.4, 4.0, 4.0, 4.9, 5.2, 5.3, 5.3, 2.9, 2.5, 3.5, 3.5
74, 3, 3.7, 4.7, 4.8, 4.8, 3.9, 5.0, 5.8, 5.9, 5.9, 5.9, 2.9, 3.0, 3.7, 3.7
74, 4, 5.2, 5.8, 5.7, 5.2, 3.6, 7.0, 7.6, 7.5, 7.2, 7.6, 3.6, 4.6, 5.0, 5.0
74, 5, 5.6, 5.7, 5.3, 4.7, 2.8, 7.2, 7.4, 7.2, 6.8, 7.5, 3.2, 4.3, 4.2, 4.5
74, 6, 7.3, 7.2, 6.6, 5.7, 3.1,10.1,10.2, 9.8, 9.2,10.5, 5.6, 7.4, 7.0, 7.6
74, 7, 6.9, 7.0, 6.4, 5.6, 3.1, 9.4, 9.6, 9.3, 8.7, 9.8, 5.1, 6.7, 6.5, 6.9
74, 8, 5.9, 6.4, 6.2, 5.7, 3.6, 8.2, 8.7, 8.5, 8.1, 8.7, 4.3, 5.7, 5.9, 6.0
74, 9, 4.8, 5.9, 6.0, 5.8, 4.3, 7.1, 7.9, 8.0, 7.8, 8.0, 4.2, 5.1, 5.8, 5.8
74,10, 3.2, 4.4, 4.7, 4.7, 3.9, 4.6, 5.5, 5.7, 5.7, 5.8, 3.2, 3.0, 4.0, 4.1
