"City:    ","SAN DIEGO             "
"State:   ","CA"
"WBAN No: ", 23188
"Lat(N):  ", 32.73
"Long(W): ",117.17
"Elev(m): ",     9
"Pres(mb):",  1014
"Stn Type:","Primary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
74,11, 3.5, 4.6, 5.2, 5.6, 4.8, 5.1, 5.9, 6.4, 6.7, 6.8, 4.2, 3.8, 4.9, 5.1
74,12, 3.1, 4.4, 5.2, 5.7, 5.2, 4.7, 5.7, 6.3, 6.7, 6.8, 4.6, 3.6, 5.0, 5.4
75, 1, 3.3, 4.6, 5.4, 5.8, 5.2, 5.1, 6.0, 6.6, 6.9, 7.0, 4.6, 3.8, 5.1, 5.5
75, 2, 3.9, 4.8, 5.2, 5.4, 4.3, 5.4, 6.1, 6.4, 6.6, 6.6, 3.8, 3.8, 4.6, 4.8
75, 3, 4.8, 5.3, 5.5, 5.4, 3.6, 6.3, 6.8, 7.0, 6.9, 7.0, 3.6, 4.3, 4.8, 4.8
75, 4, 5.8, 6.1, 6.0, 5.6, 3.0, 7.4, 7.7, 7.6, 7.3, 7.7, 3.9, 4.9, 5.0, 5.1
75, 5, 6.2, 6.2, 5.9, 5.2, 2.4, 7.5, 7.5, 7.3, 6.8, 7.6, 3.7, 4.7, 4.5, 4.7
75, 6, 6.1, 6.0, 5.6, 4.9, 2.1, 7.2, 7.1, 6.8, 6.3, 7.2, 3.3, 4.1, 3.8, 4.2
75, 7, 6.6, 6.5, 6.1, 5.3, 2.2, 8.1, 8.1, 7.8, 7.2, 8.2, 4.3, 5.3, 5.0, 5.4
75, 8, 6.7, 6.9, 6.7, 6.1, 2.9, 8.5, 8.7, 8.6, 8.1, 8.8, 5.0, 6.3, 6.3, 6.5
75, 9, 5.4, 6.0, 6.1, 5.9, 3.6, 7.2, 7.7, 7.7, 7.6, 7.8, 4.2, 5.1, 5.5, 5.5
75,10, 4.6, 5.6, 6.1, 6.2, 4.6, 6.5, 7.2, 7.6, 7.7, 7.7, 4.5, 4.8, 5.7, 5.8
75,11, 3.7, 4.9, 5.7, 6.1, 5.3, 5.5, 6.4, 7.0, 7.3, 7.4, 4.9, 4.3, 5.6, 5.9
75,12, 3.0, 4.2, 4.9, 5.4, 4.9, 4.5, 5.4, 6.0, 6.3, 6.4, 4.3, 3.4, 4.6, 5.0
76, 1, 3.5, 4.8, 5.6, 6.1, 5.4, 5.3, 6.3, 6.9, 7.3, 7.3, 4.9, 4.1, 5.4, 5.8
76, 2, 3.7, 4.4, 4.8, 4.9, 3.8, 5.0, 5.6, 5.8, 5.9, 6.0, 3.2, 3.3, 4.0, 4.1
76, 3, 5.3, 6.0, 6.2, 6.1, 4.1, 7.3, 7.9, 8.0, 7.9, 8.1, 4.3, 5.2, 5.7, 5.8
76, 4, 6.0, 6.3, 6.2, 5.7, 3.1, 7.8, 8.1, 8.0, 7.7, 8.1, 4.0, 5.2, 5.4, 5.4
76, 5, 6.1, 6.1, 5.8, 5.1, 2.3, 7.3, 7.4, 7.1, 6.7, 7.4, 3.6, 4.5, 4.3, 4.6
76, 6, 7.6, 7.4, 6.8, 5.8, 2.1, 9.9, 9.8, 9.3, 8.6,10.0, 5.7, 7.3, 6.8, 7.3
76, 7, 5.6, 5.5, 5.2, 4.6, 2.0, 6.6, 6.6, 6.3, 5.9, 6.7, 2.9, 3.6, 3.4, 3.7
76, 8, 7.0, 7.2, 7.0, 6.3, 3.0, 9.3, 9.5, 9.3, 8.9, 9.5, 5.6, 7.2, 7.2, 7.4
76, 9, 4.2, 4.5, 4.4, 4.2, 2.7, 4.9, 5.2, 5.2, 5.0, 5.2, 1.9, 2.3, 2.5, 2.5
76,10, 4.8, 5.8, 6.3, 6.5, 4.9, 6.9, 7.7, 8.1, 8.1, 8.2, 5.1, 5.4, 6.4, 6.5
76,11, 3.7, 5.0, 5.8, 6.2, 5.4, 5.8, 6.7, 7.3, 7.6, 7.7, 5.2, 4.6, 6.0, 6.3
76,12, 3.2, 4.5, 5.3, 5.8, 5.4, 4.9, 5.9, 6.5, 6.9, 7.1, 4.8, 3.8, 5.2, 5.7
77, 1, 3.0, 4.1, 4.7, 5.0, 4.4, 4.4, 5.1, 5.6, 5.9, 6.0, 3.6, 3.0, 4.0, 4.3
77, 2, 4.3, 5.4, 6.0, 6.3, 5.1, 6.3, 7.1, 7.6, 7.8, 7.8, 4.8, 4.8, 5.9, 6.1
77, 3, 5.3, 6.1, 6.4, 6.4, 4.3, 7.5, 8.1, 8.3, 8.3, 8.3, 4.6, 5.4, 6.1, 6.1
77, 4, 6.2, 6.6, 6.5, 6.0, 3.2, 8.1, 8.4, 8.3, 8.0, 8.4, 4.5, 5.7, 5.9, 5.9
77, 5, 6.3, 6.3, 5.9, 5.3, 2.3, 7.9, 8.0, 7.7, 7.2, 8.1, 4.0, 5.2, 5.0, 5.2
77, 6, 6.2, 6.1, 5.7, 5.0, 2.1, 7.3, 7.2, 6.9, 6.4, 7.4, 3.6, 4.3, 4.0, 4.4
77, 7, 7.2, 7.1, 6.6, 5.7, 2.3, 9.1, 9.1, 8.7, 8.1, 9.2, 5.1, 6.5, 6.1, 6.6
77, 8, 6.2, 6.4, 6.2, 5.6, 2.7, 7.8, 8.0, 7.8, 7.4, 8.0, 4.3, 5.3, 5.3, 5.5
77, 9, 5.9, 6.5, 6.6, 6.4, 3.9, 8.0, 8.5, 8.6, 8.4, 8.6, 4.8, 5.9, 6.4, 6.4
77,10, 4.3, 5.2, 5.6, 5.7, 4.3, 5.9, 6.6, 6.9, 7.0, 7.0, 4.1, 4.3, 5.1, 5.1
77,11, 3.6, 4.8, 5.6, 6.0, 5.1, 5.4, 6.3, 6.9, 7.2, 7.2, 4.7, 4.1, 5.4, 5.7
77,12, 2.5, 3.2, 3.7, 4.0, 3.5, 3.3, 3.9, 4.3, 4.5, 4.5, 2.6, 2.0, 2.8, 3.1
78, 1, 2.7, 3.4, 3.8, 4.1, 3.5, 3.6, 4.2, 4.5, 4.7, 4.8, 2.6, 2.2, 2.9, 3.1
78, 2, 3.7, 4.5, 4.9, 5.1, 4.0, 5.1, 5.7, 6.0, 6.1, 6.2, 3.4, 3.4, 4.2, 4.3
78, 3, 4.4, 5.0, 5.1, 5.0, 3.4, 5.8, 6.2, 6.3, 6.2, 6.3, 3.0, 3.5, 3.9, 3.9
78, 4, 5.9, 6.2, 6.1, 5.7, 3.1, 7.7, 8.0, 7.9, 7.6, 8.0, 3.9, 5.1, 5.2, 5.3
78, 5, 7.2, 7.2, 6.8, 6.0, 2.5, 9.4, 9.4, 9.1, 8.6, 9.5, 5.2, 6.8, 6.5, 6.9
78, 6, 7.3, 7.1, 6.6, 5.7, 2.1, 9.2, 9.1, 8.7, 8.1, 9.3, 5.3, 6.7, 6.2, 6.8
78, 7, 7.4, 7.3, 6.8, 5.9, 2.2, 9.7, 9.7, 9.3, 8.7, 9.8, 5.8, 7.4, 7.0, 7.5
78, 8, 6.8, 7.0, 6.8, 6.2, 2.9, 8.7, 8.9, 8.8, 8.3, 8.9, 5.1, 6.4, 6.4, 6.6
78, 9, 5.4, 6.0, 6.1, 5.9, 3.7, 7.4, 7.8, 7.9, 7.7, 7.9, 4.3, 5.3, 5.7, 5.8
78,10, 4.2, 5.1, 5.5, 5.6, 4.2, 5.7, 6.3, 6.6, 6.7, 6.7, 3.8, 3.9, 4.6, 4.7
78,11, 3.4, 4.4, 5.0, 5.3, 4.6, 4.8, 5.6, 6.1, 6.4, 6.4, 4.0, 3.5, 4.6, 4.8
78,12, 2.9, 3.9, 4.6, 5.0, 4.6, 4.2, 5.0, 5.6, 5.9, 6.0, 3.9, 3.1, 4.2, 4.6
79, 1, 2.7, 3.4, 3.8, 4.0, 3.4, 3.5, 4.1, 4.4, 4.6, 4.6, 2.4, 2.0, 2.7, 2.9
79, 2, 3.9, 4.9, 5.4, 5.6, 4.4, 5.5, 6.2, 6.6, 6.8, 6.8, 3.8, 3.8, 4.7, 4.8
79, 3, 4.9, 5.5, 5.8, 5.7, 3.8, 6.6, 7.1, 7.3, 7.3, 7.3, 3.8, 4.5, 5.0, 5.0
79, 4, 6.5, 6.9, 6.8, 6.3, 3.3, 8.8, 9.1, 9.1, 8.7, 9.2, 5.1, 6.6, 6.8, 6.9
79, 5, 6.0, 6.0, 5.6, 5.0, 2.3, 7.3, 7.3, 7.1, 6.6, 7.4, 3.3, 4.3, 4.1, 4.3
79, 6, 6.7, 6.5, 6.0, 5.2, 2.1, 8.4, 8.3, 7.9, 7.3, 8.4, 4.4, 5.6, 5.2, 5.6
79, 7, 7.0, 6.9, 6.4, 5.6, 2.2, 8.9, 8.8, 8.5, 7.9, 9.0, 5.1, 6.4, 6.1, 6.5
79, 8, 6.1, 6.3, 6.1, 5.5, 2.7, 7.8, 7.9, 7.8, 7.4, 7.9, 4.2, 5.3, 5.3, 5.4
79, 9, 6.0, 6.7, 6.9, 6.6, 4.0, 8.3, 8.8, 8.9, 8.7, 8.9, 5.2, 6.3, 6.8, 6.9
79,10, 4.4, 5.2, 5.7, 5.7, 4.3, 6.0, 6.7, 7.0, 7.0, 7.1, 4.0, 4.2, 4.9, 5.0
79,11, 3.7, 4.9, 5.6, 6.0, 5.2, 5.5, 6.4, 6.9, 7.2, 7.3, 4.6, 4.1, 5.3, 5.6
79,12, 3.1, 4.4, 5.2, 5.7, 5.2, 4.7, 5.7, 6.3, 6.7, 6.8, 4.7, 3.7, 5.0, 5.5
80, 1, 2.6, 3.4, 3.8, 4.0, 3.5, 3.5, 4.1, 4.4, 4.6, 4.7, 2.6, 2.2, 2.9, 3.1
80, 2, 3.8, 4.7, 5.2, 5.4, 4.3, 5.3, 5.9, 6.3, 6.5, 6.5, 3.8, 3.7, 4.6, 4.7
80, 3, 5.3, 6.0, 6.3, 6.2, 4.1, 7.4, 7.9, 8.1, 8.0, 8.1, 4.4, 5.2, 5.8, 5.9
80, 4, 6.2, 6.6, 6.5, 6.1, 3.3, 8.1, 8.4, 8.4, 8.1, 8.5, 4.3, 5.5, 5.7, 5.8
80, 5, 5.8, 5.7, 5.4, 4.8, 2.2, 7.0, 7.0, 6.8, 6.3, 7.1, 3.1, 4.0, 3.8, 4.1
80, 6, 7.6, 7.4, 6.8, 5.8, 2.1, 9.8, 9.7, 9.3, 8.6, 9.9, 5.7, 7.2, 6.7, 7.3
80, 7, 7.2, 7.1, 6.6, 5.8, 2.3, 9.2, 9.2, 8.9, 8.2, 9.3, 5.1, 6.6, 6.2, 6.6
80, 8, 6.5, 6.8, 6.5, 6.0, 2.9, 8.3, 8.5, 8.3, 7.9, 8.5, 4.7, 5.9, 5.9, 6.1
80, 9, 5.2, 5.8, 5.9, 5.6, 3.5, 6.7, 7.1, 7.2, 7.0, 7.2, 3.9, 4.5, 5.0, 5.0
80,10, 4.3, 5.2, 5.6, 5.7, 4.3, 6.1, 6.7, 7.0, 7.1, 7.1, 3.8, 4.1, 4.9, 4.9
80,11, 3.6, 4.7, 5.4, 5.8, 5.0, 5.2, 6.0, 6.6, 6.9, 6.9, 4.4, 3.8, 5.0, 5.3
80,12, 3.0, 4.2, 5.0, 5.4, 4.9, 4.5, 5.3, 5.9, 6.3, 6.4, 4.3, 3.3, 4.6, 5.0
81, 1, 3.0, 4.0, 4.6, 4.9, 4.3, 4.2, 4.9, 5.4, 5.7, 5.8, 3.5, 2.8, 3.8, 4.1
81, 2, 4.0, 5.0, 5.5, 5.7, 4.6, 5.7, 6.4, 6.8, 7.0, 7.0, 4.1, 4.0, 4.9, 5.1
81, 3, 4.9, 5.6, 5.8, 5.7, 3.9, 6.7, 7.2, 7.4, 7.3, 7.4, 3.8, 4.6, 5.1, 5.1
81, 4, 5.8, 6.1, 6.0, 5.6, 3.0, 7.4, 7.6, 7.6, 7.3, 7.7, 3.8, 4.8, 4.9, 5.0
81, 5, 6.0, 6.0, 5.7, 5.1, 2.3, 7.4, 7.4, 7.2, 6.7, 7.5, 3.6, 4.6, 4.4, 4.7
81, 6, 7.3, 7.1, 6.5, 5.6, 2.1, 9.3, 9.2, 8.8, 8.1, 9.4, 5.3, 6.8, 6.3, 6.8
81, 7, 7.2, 7.1, 6.6, 5.7, 2.2, 9.3, 9.2, 8.9, 8.3, 9.4, 5.4, 6.8, 6.4, 6.9
81, 8, 6.8, 7.0, 6.8, 6.2, 2.9, 8.8, 9.0, 8.8, 8.4, 9.0, 5.2, 6.6, 6.6, 6.8
81, 9, 5.7, 6.3, 6.4, 6.2, 3.7, 7.5, 8.0, 8.1, 7.9, 8.1, 4.6, 5.5, 6.0, 6.0
81,10, 4.5, 5.4, 5.9, 6.0, 4.5, 6.2, 6.9, 7.3, 7.4, 7.4, 4.4, 4.6, 5.5, 5.6
81,11, 3.5, 4.6, 5.3, 5.6, 4.8, 5.0, 5.9, 6.4, 6.7, 6.7, 4.3, 3.7, 4.8, 5.1
81,12, 2.9, 3.9, 4.6, 5.0, 4.5, 4.1, 4.9, 5.5, 5.8, 5.9, 3.8, 2.9, 4.1, 4.4
82, 1, 3.0, 4.0, 4.6, 4.9, 4.3, 4.3, 5.0, 5.5, 5.8, 5.8, 3.6, 3.1, 4.1, 4.3
82, 2, 3.5, 4.2, 4.6, 4.7, 3.7, 4.7, 5.2, 5.5, 5.6, 5.6, 3.0, 3.0, 3.7, 3.8
82, 3, 4.4, 4.9, 5.1, 5.0, 3.3, 5.7, 6.1, 6.3, 6.2, 6.3, 3.0, 3.5, 4.0, 4.0
82, 4, 6.0, 6.3, 6.2, 5.8, 3.1, 7.8, 8.1, 8.1, 7.7, 8.1, 4.2, 5.4, 5.6, 5.7
82, 5, 5.3, 5.3, 5.0, 4.5, 2.2, 6.1, 6.1, 5.9, 5.5, 6.2, 2.5, 3.1, 3.0, 3.2
82, 6, 5.9, 5.7, 5.3, 4.7, 2.0, 6.8, 6.7, 6.4, 5.9, 6.8, 3.0, 3.8, 3.5, 3.8
82, 7, 7.4, 7.3, 6.8, 5.9, 2.3, 9.4, 9.3, 9.0, 8.3, 9.5, 5.5, 6.9, 6.5, 6.9
82, 8, 6.2, 6.4, 6.1, 5.6, 2.7, 7.6, 7.8, 7.6, 7.2, 7.8, 4.1, 5.1, 5.0, 5.2
82, 9, 4.8, 5.2, 5.2, 5.0, 3.1, 6.0, 6.3, 6.4, 6.2, 6.4, 3.0, 3.6, 3.9, 3.9
82,10, 4.7, 5.6, 6.1, 6.2, 4.6, 6.5, 7.3, 7.6, 7.7, 7.7, 4.5, 4.8, 5.7, 5.7
82,11, 3.0, 3.7, 4.2, 4.4, 3.7, 4.0, 4.6, 4.9, 5.1, 5.1, 2.8, 2.4, 3.2, 3.3
82,12, 2.8, 3.8, 4.4, 4.8, 4.3, 3.9, 4.7, 5.2, 5.5, 5.6, 3.5, 2.7, 3.7, 4.0
83, 1, 3.1, 4.2, 4.8, 5.2, 4.6, 4.4, 5.2, 5.7, 6.0, 6.1, 3.8, 3.0, 4.1, 4.4
83, 2, 3.3, 3.9, 4.2, 4.3, 3.3, 4.1, 4.6, 4.8, 4.9, 4.9, 2.5, 2.3, 2.9, 3.0
83, 3, 4.5, 5.0, 5.2, 5.1, 3.4, 5.7, 6.1, 6.2, 6.1, 6.2, 3.0, 3.4, 3.8, 3.8
83, 4, 6.3, 6.7, 6.6, 6.2, 3.3, 8.2, 8.5, 8.5, 8.1, 8.6, 4.4, 5.5, 5.7, 5.8
83, 5, 6.4, 6.4, 6.1, 5.4, 2.4, 7.8, 7.9, 7.7, 7.2, 7.9, 4.0, 5.0, 4.9, 5.1
83, 6, 6.0, 5.9, 5.5, 4.8, 2.0, 6.9, 6.8, 6.5, 6.0, 6.9, 3.2, 3.9, 3.6, 3.9
83, 7, 7.3, 7.2, 6.7, 5.8, 2.3, 9.3, 9.2, 8.9, 8.3, 9.4, 5.4, 6.8, 6.4, 6.9
83, 8, 6.3, 6.5, 6.3, 5.7, 2.8, 7.9, 8.1, 8.0, 7.6, 8.1, 4.1, 5.2, 5.2, 5.4
83, 9, 5.3, 5.8, 5.9, 5.7, 3.4, 7.0, 7.4, 7.4, 7.3, 7.5, 4.0, 4.8, 5.2, 5.2
83,10, 4.3, 5.1, 5.5, 5.6, 4.2, 5.8, 6.5, 6.8, 6.9, 6.9, 3.9, 4.1, 4.8, 4.9
83,11, 3.3, 4.2, 4.8, 5.1, 4.3, 4.6, 5.3, 5.7, 5.9, 6.0, 3.5, 3.1, 4.0, 4.3
83,12, 2.5, 3.3, 3.8, 4.1, 3.7, 3.5, 4.1, 4.5, 4.7, 4.8, 2.8, 2.2, 3.0, 3.3
84, 1, 3.2, 4.3, 5.0, 5.4, 4.7, 4.6, 5.4, 6.0, 6.3, 6.3, 4.1, 3.3, 4.5, 4.8
84, 2, 4.1, 5.1, 5.7, 5.9, 4.7, 5.8, 6.6, 7.0, 7.1, 7.1, 4.1, 4.1, 5.0, 5.1
84, 3, 5.3, 6.1, 6.4, 6.3, 4.3, 7.4, 8.0, 8.3, 8.2, 8.3, 4.7, 5.5, 6.2, 6.2
84, 4, 6.4, 6.7, 6.6, 6.2, 3.3, 8.5, 8.8, 8.8, 8.4, 8.9, 4.8, 6.2, 6.4, 6.5
84, 5, 7.0, 7.0, 6.6, 5.9, 2.5, 8.9, 9.0, 8.7, 8.1, 9.1, 4.9, 6.3, 6.1, 6.4
84, 6, 6.7, 6.5, 6.0, 5.2, 2.1, 8.1, 8.1, 7.7, 7.1, 8.2, 4.4, 5.5, 5.1, 5.5
84, 7, 6.8, 6.7, 6.2, 5.4, 2.2, 8.6, 8.5, 8.2, 7.7, 8.7, 4.5, 5.8, 5.5, 5.9
84, 8, 6.1, 6.3, 6.0, 5.5, 2.7, 7.8, 7.9, 7.8, 7.4, 8.0, 4.2, 5.4, 5.4, 5.6
84, 9, 5.4, 6.0, 6.1, 5.9, 3.6, 7.2, 7.7, 7.8, 7.6, 7.8, 4.2, 5.1, 5.5, 5.6
84,10, 4.3, 5.2, 5.7, 5.8, 4.3, 6.0, 6.7, 7.0, 7.0, 7.1, 3.9, 4.1, 4.9, 4.9
84,11, 3.1, 4.0, 4.5, 4.8, 4.1, 4.3, 5.0, 5.4, 5.6, 5.7, 3.3, 2.9, 3.8, 4.0
84,12, 2.7, 3.7, 4.3, 4.6, 4.2, 3.9, 4.6, 5.1, 5.4, 5.5, 3.5, 2.7, 3.8, 4.1
85, 1, 3.0, 4.0, 4.6, 4.9, 4.3, 4.3, 5.1, 5.5, 5.8, 5.9, 3.6, 3.0, 4.1, 4.3
85, 2, 4.0, 4.9, 5.4, 5.6, 4.5, 5.6, 6.3, 6.7, 6.9, 6.9, 4.1, 4.0, 5.0, 5.1
85, 3, 4.9, 5.5, 5.7, 5.6, 3.8, 6.5, 7.0, 7.2, 7.1, 7.2, 3.7, 4.3, 4.9, 4.9
85, 4, 6.0, 6.3, 6.2, 5.8, 3.1, 7.8, 8.1, 8.0, 7.7, 8.1, 4.2, 5.3, 5.5, 5.6
85, 5, 6.4, 6.5, 6.1, 5.4, 2.4, 7.8, 7.8, 7.6, 7.1, 7.9, 4.2, 5.1, 4.9, 5.2
85, 6, 7.2, 7.0, 6.5, 5.6, 2.1, 9.0, 8.9, 8.5, 7.9, 9.1, 5.0, 6.3, 5.9, 6.4
85, 7, 7.2, 7.1, 6.6, 5.7, 2.2, 9.2, 9.2, 8.8, 8.2, 9.3, 5.3, 6.7, 6.4, 6.8
85, 8, 6.9, 7.2, 6.9, 6.3, 3.0, 9.1, 9.3, 9.2, 8.7, 9.4, 5.4, 6.9, 6.9, 7.1
85, 9, 5.3, 5.8, 5.9, 5.7, 3.5, 7.2, 7.6, 7.7, 7.5, 7.7, 4.0, 5.0, 5.4, 5.4
85,10, 4.4, 5.3, 5.8, 5.9, 4.4, 6.1, 6.8, 7.1, 7.2, 7.2, 4.3, 4.4, 5.3, 5.4
85,11, 3.2, 4.1, 4.6, 4.9, 4.1, 4.5, 5.2, 5.6, 5.8, 5.8, 3.5, 3.1, 4.1, 4.3
85,12, 2.9, 4.0, 4.7, 5.1, 4.6, 4.2, 5.1, 5.6, 5.9, 6.0, 3.9, 3.1, 4.3, 4.6
86, 1, 3.1, 4.2, 4.9, 5.3, 4.6, 4.5, 5.3, 5.9, 6.2, 6.2, 4.0, 3.3, 4.4, 4.7
86, 2, 3.7, 4.5, 5.0, 5.1, 4.1, 5.0, 5.6, 6.0, 6.1, 6.1, 3.6, 3.4, 4.3, 4.4
86, 3, 4.5, 5.0, 5.2, 5.0, 3.3, 5.9, 6.3, 6.4, 6.3, 6.4, 3.2, 3.8, 4.2, 4.2
86, 4, 6.4, 6.7, 6.6, 6.2, 3.2, 8.4, 8.8, 8.7, 8.3, 8.8, 4.8, 6.1, 6.3, 6.4
86, 5, 6.9, 6.9, 6.5, 5.8, 2.5, 8.7, 8.8, 8.5, 8.0, 8.9, 4.7, 6.1, 5.8, 6.2
86, 6, 6.5, 6.4, 5.9, 5.1, 2.1, 7.7, 7.6, 7.3, 6.7, 7.8, 4.0, 4.9, 4.6, 5.0
86, 7, 7.3, 7.2, 6.7, 5.8, 2.2, 9.4, 9.4, 9.0, 8.4, 9.5, 5.5, 7.1, 6.7, 7.2
86, 8, 6.9, 7.2, 6.9, 6.3, 3.0, 9.1, 9.4, 9.2, 8.8, 9.4, 5.5, 7.0, 7.0, 7.2
86, 9, 5.4, 6.0, 6.1, 5.9, 3.6, 7.2, 7.6, 7.7, 7.5, 7.7, 4.2, 5.1, 5.5, 5.5
86,10, 4.3, 5.1, 5.5, 5.6, 4.2, 5.9, 6.6, 6.9, 7.0, 7.0, 4.0, 4.3, 5.1, 5.1
86,11, 3.5, 4.6, 5.2, 5.6, 4.8, 5.1, 5.9, 6.4, 6.7, 6.7, 4.2, 3.8, 4.9, 5.1
86,12, 3.0, 4.2, 4.9, 5.3, 4.9, 4.5, 5.3, 5.9, 6.3, 6.4, 4.2, 3.3, 4.6, 5.0
87, 1, 3.2, 4.4, 5.1, 5.5, 4.9, 4.8, 5.7, 6.2, 6.6, 6.6, 4.3, 3.6, 4.8, 5.1
87, 2, 3.8, 4.7, 5.2, 5.4, 4.3, 5.4, 6.0, 6.4, 6.6, 6.6, 3.8, 3.8, 4.7, 4.8
87, 3, 5.0, 5.7, 5.9, 5.8, 3.9, 6.8, 7.4, 7.5, 7.4, 7.6, 4.0, 4.8, 5.4, 5.4
87, 4, 6.1, 6.4, 6.3, 5.9, 3.2, 8.1, 8.3, 8.3, 8.0, 8.4, 4.3, 5.6, 5.8, 5.9
87, 5, 5.5, 5.5, 5.2, 4.7, 2.2, 6.6, 6.6, 6.4, 6.0, 6.7, 2.9, 3.7, 3.6, 3.8
87, 6, 6.3, 6.1, 5.7, 4.9, 2.0, 7.5, 7.4, 7.1, 6.6, 7.6, 3.8, 4.7, 4.3, 4.7
87, 7, 6.5, 6.4, 5.9, 5.2, 2.2, 7.9, 7.9, 7.6, 7.1, 8.0, 4.2, 5.3, 5.0, 5.3
87, 8, 6.3, 6.5, 6.3, 5.7, 2.8, 8.0, 8.2, 8.1, 7.7, 8.3, 4.5, 5.7, 5.7, 5.8
87, 9, 5.5, 6.0, 6.1, 5.9, 3.6, 7.3, 7.7, 7.8, 7.6, 7.8, 4.3, 5.2, 5.7, 5.7
87,10, 3.8, 4.5, 4.8, 4.8, 3.5, 5.0, 5.5, 5.7, 5.7, 5.8, 3.0, 3.2, 3.8, 3.8
87,11, 3.6, 4.8, 5.5, 5.9, 5.1, 5.3, 6.2, 6.8, 7.1, 7.1, 4.6, 4.1, 5.3, 5.6
87,12, 2.8, 3.8, 4.4, 4.8, 4.4, 4.1, 4.8, 5.4, 5.7, 5.8, 3.7, 3.0, 4.1, 4.4
88, 1, 3.1, 4.2, 4.8, 5.2, 4.6, 4.5, 5.3, 5.8, 6.1, 6.1, 3.9, 3.2, 4.3, 4.6
88, 2, 4.3, 5.4, 6.0, 6.3, 5.1, 6.2, 7.0, 7.5, 7.7, 7.7, 4.8, 4.7, 5.9, 6.0
88, 3, 5.7, 6.5, 6.8, 6.8, 4.5, 8.1, 8.7, 9.0, 8.9, 9.0, 5.3, 6.3, 7.0, 7.1
88, 4, 5.9, 6.2, 6.1, 5.7, 3.1, 7.6, 7.9, 7.9, 7.6, 8.0, 4.0, 5.1, 5.3, 5.3
88, 5, 7.0, 7.0, 6.6, 5.9, 2.5, 9.1, 9.2, 8.9, 8.4, 9.3, 5.1, 6.7, 6.4, 6.8
88, 6, 6.6, 6.4, 5.9, 5.1, 2.1, 8.2, 8.1, 7.8, 7.2, 8.3, 4.2, 5.3, 5.0, 5.4
88, 7, 6.6, 6.5, 6.1, 5.3, 2.1, 8.2, 8.1, 7.8, 7.3, 8.3, 4.5, 5.6, 5.3, 5.7
88, 8, 6.4, 6.7, 6.4, 5.8, 2.8, 8.3, 8.5, 8.4, 7.9, 8.6, 4.8, 6.1, 6.1, 6.3
88, 9, 5.6, 6.3, 6.4, 6.1, 3.7, 7.6, 8.1, 8.2, 8.0, 8.2, 4.7, 5.8, 6.3, 6.3
88,10, 4.1, 4.9, 5.3, 5.3, 4.0, 5.5, 6.1, 6.4, 6.5, 6.5, 3.7, 3.9, 4.6, 4.7
88,11, 3.2, 4.3, 4.9, 5.2, 4.4, 4.7, 5.4, 5.9, 6.2, 6.2, 3.9, 3.4, 4.5, 4.7
88,12, 3.0, 4.1, 4.8, 5.3, 4.8, 4.4, 5.3, 5.9, 6.2, 6.3, 4.2, 3.3, 4.6, 4.9
89, 1, 3.3, 4.5, 5.2, 5.7, 5.0, 5.0, 5.8, 6.4, 6.8, 6.8, 4.6, 3.8, 5.2, 5.5
89, 2, 3.7, 4.5, 5.0, 5.1, 4.0, 5.1, 5.7, 6.0, 6.1, 6.1, 3.4, 3.4, 4.2, 4.3
89, 3, 5.3, 6.1, 6.4, 6.3, 4.2, 7.3, 7.9, 8.1, 8.1, 8.1, 4.7, 5.4, 6.1, 6.1
89, 4, 6.2, 6.5, 6.5, 6.0, 3.2, 8.1, 8.4, 8.3, 8.0, 8.4, 4.5, 5.7, 5.8, 5.9
89, 5, 6.4, 6.5, 6.1, 5.4, 2.4, 7.9, 8.0, 7.7, 7.2, 8.0, 4.2, 5.3, 5.1, 5.4
89, 6, 6.1, 6.0, 5.5, 4.8, 2.0, 7.3, 7.2, 6.9, 6.4, 7.4, 3.6, 4.5, 4.2, 4.6
