"City:    ","SAINT CLOUD           "
"State:   ","MN"
"WBAN No: ", 14926
"Lat(N):  ", 45.55
"Long(W): ", 94.07
"Elev(m): ",   313
"Pres(mb):",   978
"Stn Type:","Secondary"
"MONTHLY SOLAR RADIATION (kWh/m2/day)"
"COLUMN A: Year"
"COLUMN B: Month"
"COLUMN C: Flat-Plate Collector Facing South at Fixed Tilt=0"
"COLUMN D: Flat-Plate Collector Facing South at Fixed Tilt=Lat-15"
"COLUMN E: Flat-Plate Collector Facing South at Fixed Tilt=Lat"
"COLUMN F: Flat-Plate Collector Facing South at Fixed Tilt=Lat+15"
"COLUMN G: Flat-Plate Collector Facing South at Fixed Tilt=90"
"COLUMN H: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=0"
"COLUMN I: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat-15"
"COLUMN J: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN K: 1-Axis Tracking Flat-Plate Collector with North-South Axis, Axis Tilt=Lat+15"
"COLUMN L: 2-Axis Tracking Flat-Plate Collector"
"COLUMN M: 1-Axis Tracking Concentrating Collector with East-West Horizontal Axis"
"COLUMN N: 1-Axis Tracking Concentrating Collector with North-South Horizontal Axis"
"COLUMN O: 1-Axis Tracking Concentrating Collector with North-South Axis, Axis Tilt=Lat"
"COLUMN P: 2-Axis Tracking Concentrating Collector"
"COL A","COL B","COL C","COL D","COL E","COL F","COL G","COL H","COL I","COL J","COL K","COL L","COL M","COL N","COL O","COL P"
68,10, 2.5, 3.4, 3.6, 3.6, 3.1, 3.5, 4.2, 4.3, 4.3, 4.3, 2.2, 2.0, 2.7, 2.8
68,11, 1.5, 2.0, 2.2, 2.3, 2.1, 1.9, 2.3, 2.5, 2.5, 2.5, 1.1, 0.8, 1.3, 1.4
68,12, 1.2, 1.9, 2.1, 2.3, 2.2, 1.7, 2.2, 2.4, 2.5, 2.5, 1.1, 0.7, 1.1, 1.3
69, 1, 1.6, 2.5, 2.8, 3.0, 2.9, 2.2, 2.9, 3.1, 3.3, 3.3, 1.4, 0.9, 1.5, 1.6
69, 2, 2.7, 3.9, 4.2, 4.4, 4.1, 3.7, 4.6, 4.9, 5.1, 5.1, 2.3, 1.8, 2.7, 2.8
69, 3, 4.4, 5.9, 6.2, 6.3, 5.6, 6.5, 7.7, 8.0, 8.0, 7.9, 3.8, 4.1, 5.1, 5.1
69, 4, 4.9, 5.6, 5.4, 5.1, 3.6, 6.8, 7.4, 7.3, 7.0, 7.4, 3.4, 4.4, 4.8, 4.9
69, 5, 5.8, 5.9, 5.5, 4.9, 3.0, 7.7, 7.9, 7.6, 7.2, 8.0, 3.7, 4.8, 4.8, 5.1
69, 6, 5.7, 5.6, 5.1, 4.4, 2.7, 7.1, 7.2, 6.8, 6.4, 7.3, 3.0, 3.9, 3.7, 4.1
69, 7, 6.1, 6.0, 5.6, 4.8, 2.9, 8.2, 8.4, 8.1, 7.6, 8.5, 3.8, 5.2, 5.1, 5.5
69, 8, 6.5, 7.1, 6.9, 6.2, 4.0, 9.7,10.3,10.1, 9.7,10.4, 5.7, 7.6, 7.9, 8.2
69, 9, 4.1, 5.0, 5.1, 4.9, 3.7, 5.8, 6.5, 6.6, 6.4, 6.6, 3.3, 3.8, 4.5, 4.5
69,10, 2.5, 3.4, 3.5, 3.5, 2.9, 3.4, 4.1, 4.2, 4.2, 4.2, 2.0, 1.9, 2.5, 2.6
69,11, 1.6, 2.5, 2.8, 2.9, 2.7, 2.3, 3.0, 3.2, 3.3, 3.3, 1.8, 1.2, 2.0, 2.1
69,12, 1.3, 2.1, 2.4, 2.5, 2.5, 1.8, 2.4, 2.7, 2.8, 2.8, 1.3, 0.8, 1.4, 1.5
70, 1, 1.8, 3.2, 3.7, 3.9, 3.9, 2.8, 3.8, 4.2, 4.4, 4.5, 2.4, 1.5, 2.6, 2.8
70, 2, 2.8, 4.4, 4.9, 5.2, 4.9, 4.4, 5.6, 6.0, 6.2, 6.1, 3.3, 2.8, 4.0, 4.1
70, 3, 4.1, 5.5, 5.8, 5.8, 5.0, 6.1, 7.1, 7.3, 7.3, 7.3, 3.6, 3.9, 4.8, 4.8
70, 4, 4.5, 5.0, 4.9, 4.5, 3.2, 6.1, 6.5, 6.4, 6.2, 6.6, 2.8, 3.6, 4.0, 4.0
70, 5, 5.0, 5.0, 4.7, 4.2, 2.7, 6.2, 6.3, 6.1, 5.7, 6.4, 2.4, 3.2, 3.2, 3.3
70, 6, 6.4, 6.2, 5.7, 4.9, 2.9, 8.5, 8.6, 8.3, 7.7, 8.8, 4.2, 5.6, 5.3, 5.8
70, 7, 6.8, 6.9, 6.3, 5.5, 3.2, 9.5, 9.7, 9.4, 8.8, 9.9, 5.1, 6.8, 6.6, 7.1
70, 8, 5.7, 6.2, 5.9, 5.4, 3.5, 8.0, 8.5, 8.3, 7.9, 8.5, 4.2, 5.6, 5.8, 6.0
70, 9, 4.2, 5.1, 5.1, 4.9, 3.7, 5.9, 6.6, 6.6, 6.5, 6.7, 3.3, 3.9, 4.6, 4.6
70,10, 2.8, 3.8, 4.1, 4.1, 3.4, 4.0, 4.8, 5.0, 5.0, 5.0, 2.7, 2.6, 3.5, 3.5
70,11, 1.5, 2.2, 2.4, 2.5, 2.3, 2.0, 2.5, 2.7, 2.8, 2.8, 1.3, 0.9, 1.5, 1.6
70,12, 1.2, 2.0, 2.3, 2.4, 2.3, 1.7, 2.3, 2.6, 2.7, 2.7, 1.5, 0.9, 1.6, 1.7
71, 1, 1.7, 3.0, 3.5, 3.7, 3.7, 2.7, 3.7, 4.0, 4.2, 4.3, 2.4, 1.6, 2.6, 2.8
71, 2, 2.7, 4.0, 4.3, 4.5, 4.3, 3.9, 4.9, 5.2, 5.3, 5.3, 2.6, 2.1, 3.1, 3.2
71, 3, 4.0, 5.2, 5.5, 5.5, 4.9, 5.8, 6.7, 6.9, 6.9, 6.9, 3.1, 3.3, 4.1, 4.1
71, 4, 4.9, 5.5, 5.4, 5.0, 3.6, 6.9, 7.5, 7.4, 7.1, 7.5, 3.4, 4.5, 4.9, 5.0
71, 5, 6.2, 6.4, 6.0, 5.3, 3.3, 8.6, 8.9, 8.6, 8.1, 9.0, 4.3, 5.9, 5.9, 6.2
71, 6, 5.9, 5.8, 5.3, 4.6, 2.8, 7.7, 7.8, 7.5, 7.0, 8.0, 3.5, 4.6, 4.4, 4.8
71, 7, 6.1, 6.0, 5.6, 4.8, 2.9, 8.5, 8.6, 8.3, 7.8, 8.8, 4.0, 5.6, 5.4, 5.8
71, 8, 5.9, 6.4, 6.1, 5.5, 3.6, 8.6, 9.1, 8.9, 8.5, 9.2, 4.6, 6.2, 6.4, 6.6
71, 9, 4.1, 4.9, 4.9, 4.6, 3.5, 5.8, 6.4, 6.4, 6.3, 6.5, 3.0, 3.8, 4.3, 4.3
71,10, 2.5, 3.3, 3.4, 3.4, 2.8, 3.3, 3.9, 4.0, 4.0, 4.1, 1.9, 1.8, 2.4, 2.4
71,11, 1.6, 2.4, 2.6, 2.7, 2.5, 2.2, 2.8, 3.0, 3.0, 3.1, 1.5, 1.1, 1.7, 1.8
71,12, 1.3, 1.9, 2.2, 2.3, 2.2, 1.7, 2.2, 2.4, 2.5, 2.5, 1.0, 0.6, 1.1, 1.2
72, 1, 1.8, 3.1, 3.6, 3.9, 3.8, 2.8, 3.8, 4.2, 4.4, 4.5, 2.5, 1.7, 2.8, 3.0
72, 2, 2.8, 4.3, 4.7, 4.9, 4.7, 4.3, 5.4, 5.7, 5.9, 5.9, 2.9, 2.4, 3.5, 3.6
72, 3, 3.9, 5.1, 5.3, 5.3, 4.6, 5.6, 6.5, 6.7, 6.7, 6.7, 3.0, 3.3, 4.1, 4.1
72, 4, 4.5, 4.9, 4.8, 4.4, 3.2, 5.8, 6.2, 6.2, 5.9, 6.3, 2.5, 3.2, 3.5, 3.6
72, 5, 5.4, 5.4, 5.0, 4.4, 2.8, 6.9, 7.1, 6.8, 6.4, 7.2, 3.0, 4.1, 4.0, 4.3
72, 6, 6.7, 6.6, 6.1, 5.3, 3.1, 9.0, 9.1, 8.7, 8.2, 9.3, 4.6, 6.0, 5.8, 6.3
72, 7, 5.8, 5.7, 5.3, 4.6, 2.8, 7.7, 7.8, 7.5, 7.0, 7.9, 3.4, 4.6, 4.5, 4.8
72, 8, 4.8, 5.2, 4.9, 4.4, 3.0, 6.5, 6.8, 6.6, 6.3, 6.8, 2.9, 3.8, 4.0, 4.1
72, 9, 3.8, 4.6, 4.6, 4.4, 3.3, 5.3, 5.9, 5.9, 5.8, 6.0, 2.7, 3.3, 3.8, 3.8
72,10, 2.6, 3.6, 3.8, 3.8, 3.2, 3.8, 4.5, 4.6, 4.6, 4.7, 2.3, 2.2, 3.0, 3.0
72,11, 1.4, 2.0, 2.1, 2.2, 1.9, 1.7, 2.2, 2.3, 2.3, 2.4, 1.1, 0.7, 1.2, 1.2
72,12, 1.4, 2.3, 2.7, 2.9, 2.8, 2.0, 2.7, 3.0, 3.2, 3.2, 1.7, 1.0, 1.8, 1.9
73, 1, 1.8, 3.1, 3.5, 3.8, 3.7, 2.7, 3.7, 4.1, 4.3, 4.3, 2.4, 1.5, 2.5, 2.7
73, 2, 2.5, 3.7, 4.0, 4.2, 3.9, 3.6, 4.4, 4.7, 4.8, 4.8, 2.2, 1.8, 2.6, 2.7
73, 3, 3.2, 3.8, 3.9, 3.8, 3.0, 4.2, 4.7, 4.7, 4.6, 4.8, 1.9, 2.2, 2.6, 2.6
73, 4, 4.6, 5.0, 4.9, 4.5, 3.1, 6.1, 6.5, 6.4, 6.1, 6.5, 2.8, 3.6, 3.9, 4.0
73, 5, 5.4, 5.5, 5.1, 4.5, 2.8, 7.1, 7.2, 7.0, 6.6, 7.3, 3.1, 4.2, 4.1, 4.4
73, 6, 6.3, 6.2, 5.6, 4.9, 2.9, 8.5, 8.6, 8.3, 7.7, 8.8, 4.1, 5.6, 5.3, 5.8
73, 7, 6.0, 6.0, 5.5, 4.8, 2.8, 8.2, 8.3, 7.9, 7.5, 8.4, 3.9, 5.3, 5.1, 5.5
73, 8, 5.3, 5.7, 5.5, 4.9, 3.2, 7.3, 7.7, 7.5, 7.2, 7.7, 3.5, 4.7, 4.9, 5.0
73, 9, 3.7, 4.4, 4.4, 4.2, 3.1, 4.9, 5.4, 5.4, 5.3, 5.5, 2.4, 2.8, 3.2, 3.3
73,10, 2.8, 4.1, 4.3, 4.3, 3.7, 4.1, 5.0, 5.2, 5.2, 5.3, 2.9, 2.7, 3.6, 3.7
73,11, 1.8, 2.9, 3.3, 3.4, 3.1, 2.6, 3.5, 3.8, 3.9, 3.9, 2.4, 1.7, 2.6, 2.8
73,12, 1.3, 2.3, 2.6, 2.8, 2.7, 1.9, 2.7, 2.9, 3.1, 3.1, 1.7, 1.0, 1.8, 1.9
74, 1, 1.8, 3.2, 3.7, 4.0, 4.0, 2.8, 3.9, 4.3, 4.5, 4.6, 2.6, 1.7, 2.8, 3.0
74, 2, 2.9, 4.4, 4.9, 5.1, 4.8, 4.4, 5.5, 5.9, 6.1, 6.0, 3.2, 2.7, 3.8, 4.0
74, 3, 3.4, 4.3, 4.5, 4.4, 3.7, 4.6, 5.4, 5.5, 5.4, 5.5, 2.5, 2.6, 3.2, 3.3
74, 4, 4.8, 5.3, 5.2, 4.8, 3.3, 6.4, 6.9, 6.8, 6.5, 6.9, 3.1, 4.0, 4.3, 4.4
74, 5, 4.9, 4.9, 4.6, 4.1, 2.6, 6.2, 6.3, 6.1, 5.7, 6.4, 2.3, 3.1, 3.1, 3.3
74, 6, 6.6, 6.4, 5.9, 5.1, 3.0, 8.8, 8.9, 8.5, 8.0, 9.1, 4.3, 5.8, 5.5, 6.0
74, 7, 6.8, 6.8, 6.3, 5.5, 3.2, 9.3, 9.5, 9.2, 8.7, 9.7, 5.1, 6.7, 6.5, 7.0
74, 8, 5.2, 5.6, 5.3, 4.8, 3.2, 7.1, 7.5, 7.3, 7.0, 7.5, 3.4, 4.5, 4.7, 4.8
74, 9, 4.3, 5.4, 5.4, 5.2, 4.0, 6.4, 7.2, 7.2, 7.1, 7.3, 3.7, 4.4, 5.2, 5.2
74,10, 2.8, 3.9, 4.2, 4.2, 3.6, 4.1, 5.0, 5.2, 5.2, 5.2, 2.8, 2.7, 3.5, 3.6
